Trace ID,Amplitude Range,Start time,End time,Similarity
Deglitched_sol_102_ZNE.mseed,0.00,2019-03-11T04:35:59.970000Z,2019-03-11T16:30:39.970000Z,-0.800534
Deglitched_sol_102_ZNE.mseed,0.00,2019-03-11T04:36:04.970000Z,2019-03-11T16:30:44.970000Z,-0.804336
Deglitched_sol_102_ZNE.mseed,0.00,2019-03-11T04:36:09.970000Z,2019-03-11T16:30:49.970000Z,-0.807347
Deglitched_sol_102_ZNE.mseed,0.00,2019-03-11T04:36:14.970000Z,2019-03-11T16:30:54.970000Z,-0.809562
Deglitched_sol_102_ZNE.mseed,0.00,2019-03-11T04:36:19.970000Z,2019-03-11T16:30:59.970000Z,-0.810980
Deglitched_sol_102_ZNE.mseed,0.00,2019-03-11T04:36:24.970000Z,2019-03-11T16:31:04.970000Z,-0.811598
Deglitched_sol_102_ZNE.mseed,0.00,2019-03-11T04:36:29.970000Z,2019-03-11T16:31:09.970000Z,-0.811416
Deglitched_sol_102_ZNE.mseed,0.00,2019-03-11T04:36:34.970000Z,2019-03-11T16:31:14.970000Z,-0.810432
Deglitched_sol_102_ZNE.mseed,0.00,2019-03-11T04:36:39.970000Z,2019-03-11T16:31:19.970000Z,-0.808649
Deglitched_sol_102_ZNE.mseed,0.00,2019-03-11T04:36:44.970000Z,2019-03-11T16:31:24.970000Z,-0.806067
Deglitched_sol_102_ZNE.mseed,0.00,2019-03-11T04:36:49.970000Z,2019-03-11T16:31:29.970000Z,-0.802688
Deglitched_sol_102_ZNE.mseed,0.00,2019-03-11T04:43:59.970000Z,2019-03-11T16:38:39.970000Z,0.805337
Deglitched_sol_102_ZNE.mseed,0.00,2019-03-11T04:44:04.970000Z,2019-03-11T16:38:44.970000Z,0.812622
Deglitched_sol_102_ZNE.mseed,0.00,2019-03-11T04:44:09.970000Z,2019-03-11T16:38:49.970000Z,0.819110
Deglitched_sol_102_ZNE.mseed,0.00,2019-03-11T04:44:14.970000Z,2019-03-11T16:38:54.970000Z,0.824794
Deglitched_sol_102_ZNE.mseed,0.00,2019-03-11T04:44:19.970000Z,2019-03-11T16:38:59.970000Z,0.829668
Deglitched_sol_102_ZNE.mseed,0.00,2019-03-11T04:44:24.970000Z,2019-03-11T16:39:04.970000Z,0.833726
Deglitched_sol_102_ZNE.mseed,0.00,2019-03-11T04:44:29.970000Z,2019-03-11T16:39:09.970000Z,0.836964
Deglitched_sol_102_ZNE.mseed,0.00,2019-03-11T04:44:34.970000Z,2019-03-11T16:39:14.970000Z,0.839379
Deglitched_sol_102_ZNE.mseed,0.00,2019-03-11T04:44:39.970000Z,2019-03-11T16:39:19.970000Z,0.840968
Deglitched_sol_102_ZNE.mseed,0.00,2019-03-11T04:44:44.970000Z,2019-03-11T16:39:24.970000Z,0.841728
Deglitched_sol_102_ZNE.mseed,0.00,2019-03-11T04:44:49.970000Z,2019-03-11T16:39:29.970000Z,0.841659
