Trace ID,Amplitude Range,Start time,End time,Similarity
Deglitched_sol_102_ZNE.mseed,0.00,2019-03-11T04:46:09.970000Z,2019-03-11T18:52:54.970000Z,0.831823
Deglitched_sol_102_ZNE.mseed,0.00,2019-03-11T04:46:14.970000Z,2019-03-11T18:52:59.970000Z,0.834428
Deglitched_sol_102_ZNE.mseed,0.00,2019-03-11T04:46:19.970000Z,2019-03-11T18:53:04.970000Z,0.836216
Deglitched_sol_102_ZNE.mseed,0.00,2019-03-11T04:46:24.970000Z,2019-03-11T18:53:09.970000Z,0.837187
Deglitched_sol_102_ZNE.mseed,0.00,2019-03-11T04:46:29.970000Z,2019-03-11T18:53:14.970000Z,0.837339
Deglitched_sol_102_ZNE.mseed,0.00,2019-03-11T04:46:34.970000Z,2019-03-11T18:53:19.970000Z,0.836672
Deglitched_sol_102_ZNE.mseed,0.00,2019-03-11T04:46:39.970000Z,2019-03-11T18:53:24.970000Z,0.835186
Deglitched_sol_102_ZNE.mseed,0.00,2019-03-11T04:46:44.970000Z,2019-03-11T18:53:29.970000Z,0.832883
Deglitched_sol_102_ZNE.mseed,0.00,2019-03-11T04:46:49.970000Z,2019-03-11T18:53:34.970000Z,0.829764
Deglitched_sol_102_ZNE.mseed,0.00,2019-03-11T04:46:54.970000Z,2019-03-11T18:53:39.970000Z,0.825832
Deglitched_sol_102_ZNE.mseed,0.00,2019-03-11T04:46:59.970000Z,2019-03-11T18:53:44.970000Z,0.821091
Deglitched_sol_102_ZNE.mseed,0.00,2019-03-11T04:47:04.970000Z,2019-03-11T18:53:49.970000Z,0.815546
Deglitched_sol_102_ZNE.mseed,0.00,2019-03-11T04:47:09.970000Z,2019-03-11T18:53:54.970000Z,0.809201
Deglitched_sol_102_ZNE.mseed,0.00,2019-03-11T04:47:14.970000Z,2019-03-11T18:53:59.970000Z,0.802063
Deglitched_sol_102_ZNE.mseed,0.00,2019-03-11T04:53:54.970000Z,2019-03-11T19:00:39.970000Z,-0.803792
Deglitched_sol_102_ZNE.mseed,0.00,2019-03-11T04:53:59.970000Z,2019-03-11T19:00:44.970000Z,-0.812415
Deglitched_sol_102_ZNE.mseed,0.00,2019-03-11T04:54:04.970000Z,2019-03-11T19:00:49.970000Z,-0.820243
Deglitched_sol_102_ZNE.mseed,0.00,2019-03-11T04:54:09.970000Z,2019-03-11T19:00:54.970000Z,-0.827268
Deglitched_sol_102_ZNE.mseed,0.00,2019-03-11T04:54:14.970000Z,2019-03-11T19:00:59.970000Z,-0.833484
Deglitched_sol_102_ZNE.mseed,0.00,2019-03-11T04:54:19.970000Z,2019-03-11T19:01:04.970000Z,-0.838883
Deglitched_sol_102_ZNE.mseed,0.00,2019-03-11T04:54:24.970000Z,2019-03-11T19:01:09.970000Z,-0.843461
Deglitched_sol_102_ZNE.mseed,0.00,2019-03-11T04:54:29.970000Z,2019-03-11T19:01:14.970000Z,-0.847214
Deglitched_sol_102_ZNE.mseed,0.00,2019-03-11T04:54:34.970000Z,2019-03-11T19:01:19.970000Z,-0.850137
Deglitched_sol_102_ZNE.mseed,0.00,2019-03-11T04:54:39.970000Z,2019-03-11T19:01:24.970000Z,-0.852227
Deglitched_sol_102_ZNE.mseed,0.00,2019-03-11T04:54:44.970000Z,2019-03-11T19:01:29.970000Z,-0.853484
Deglitched_sol_102_ZNE.mseed,0.00,2019-03-11T04:54:49.970000Z,2019-03-11T19:01:34.970000Z,-0.853904
Deglitched_sol_102_ZNE.mseed,0.00,2019-03-11T04:54:54.970000Z,2019-03-11T19:01:39.970000Z,-0.853489
Deglitched_sol_102_ZNE.mseed,0.00,2019-03-11T04:54:59.970000Z,2019-03-11T19:01:44.970000Z,-0.852238
Deglitched_sol_102_ZNE.mseed,0.00,2019-03-11T04:55:04.970000Z,2019-03-11T19:01:49.970000Z,-0.850152
Deglitched_sol_102_ZNE.mseed,0.00,2019-03-11T04:55:09.970000Z,2019-03-11T19:01:54.970000Z,-0.847234
Deglitched_sol_102_ZNE.mseed,0.00,2019-03-11T04:55:14.970000Z,2019-03-11T19:01:59.970000Z,-0.843486
